virus	Virulent	Temperate
Shah2023-NODE_324_length_3487_cov_10.579545	0.9625	0.0375
Walters2023-NODE_8_length_6758_cov_9.249590	0.8118782016546146	0.1881217983453865
Liang2020a-NODE_257_length_3134_cov_11.090614	0.8691268200909323	0.130873179909068
Shah2023-NODE_116_length_7306_cov_7.584747	0.8800312501502798	0.11996874984972046
Shah2023-NODE_125_length_5996_cov_10.045279	0.9363023420865861	0.06369765791341378
Shah2023-NODE_162_length_6518_cov_28.296457	0.9625	0.0375
Liang2020a-NODE_79_length_6049_cov_5.489489	0.8118782016546146	0.1881217983453865
Garmaeva2024-NODE_645_length_8224_cov_8.137716	0.8118782016546146	0.1881217983453865
Liang2020a-NODE_180_length_3808_cov_728.211564	0.985005930576337	0.014994069423662984
Shah2023-NODE_8_length_32450_cov_24.943417	0.0	1.0
Liang2020a-NODE_237_length_4084_cov_2.781335	0.8440918580422796	0.15590814195772124
Shah2023-NODE_100_length_7159_cov_13.987894	0.9210223090753011	0.07897769092469892
Beller2022-NODE_16_length_12525_cov_2552.173697	0.0	1.0
Liang2020a-NODE_151_length_7469_cov_3.313596	0.8118782016546146	0.1881217983453865
Shah2023-NODE_80_length_15497_cov_17.226201	0.7429749414245747	0.25702505857542585
Liang2020a-NODE_59_length_7081_cov_11.501850	0.793594045211205	0.20640595478879584
Shah2023-NODE_78_length_3522_cov_8.321027	0.8118782016546146	0.1881217983453865
Garmaeva2024-NODE_735_length_4286_cov_6.930749	1.0	0.0
Shah2023-NODE_68_length_10602_cov_9.325969	0.9967602304644645	0.003239769535535537
Garmaeva2024-NODE_1017_length_3433_cov_7.289224	0.8118782016546146	0.1881217983453865
Shah2023-NODE_37_length_7633_cov_9.852600	0.8118782016546146	0.1881217983453865
Shah2023-NODE_121_length_6415_cov_7.392138	0.9570535528942138	0.04294644710578623
Shah2023-NODE_45_length_11823_cov_36.657121	0.9602261948935176	0.03977380510648237
Liang2020a-NODE_1_length_17076_cov_45.925445	0.025	0.975
Liang2020a-NODE_104_length_12369_cov_10.220806	0.8193121223594604	0.18068787764054067
Shah2023-NODE_80_length_22002_cov_7.771176	0.8845603315797836	0.11543966842021684
Lim2015-NODE_13_length_6014_cov_2.813997	0.0125	0.9875
Shah2023-NODE_59_length_18236_cov_22.390793	0.931779094256249	0.06822090574375078
Shah2023-NODE_291_length_5647_cov_8.056867	0.8564208353481064	0.14357916465189374
Shah2023-NODE_29_length_26925_cov_69.571678	0.1125	0.8875
Shah2023-NODE_16_length_21508_cov_34.919265	0.9875	0.0125
Shah2023-NODE_330_length_9703_cov_33.703151	0.9759467565391639	0.024053243460836017
Garmaeva2024-NODE_1071_length_3782_cov_6.774081	0.8118782016546146	0.1881217983453865
Shah2023-NODE_13_length_12742_cov_18.072594	0.8118782016546146	0.1881217983453865
Garmaeva2024-NODE_572_length_5599_cov_21.317280	0.8118782016546146	0.1881217983453865
Liang2020a-NODE_13_length_36968_cov_84.219489	0.2	0.8
Garmaeva2024-NODE_256_length_9936_cov_8.065884	1.0	0.0
Shah2023-NODE_507_length_5845_cov_15.657513	0.8118782016546146	0.1881217983453865
Shah2023-NODE_376_length_7264_cov_8.806908	0.97395145361197	0.026048546388029926
Shah2023-NODE_55_length_4333_cov_9.302945	0.8118782016546146	0.1881217983453865
Shah2023-NODE_30_length_24041_cov_64.594930	0.8619631350381283	0.13803686496187204
Shah2023-NODE_60_length_5352_cov_5.561261	0.8118782016546146	0.1881217983453865
Garmaeva2024-NODE_727_length_4854_cov_6.986039	0.8118782016546146	0.1881217983453865
Shah2023-NODE_41_length_8417_cov_47.445228	0.11054461181923522	0.8894553881807647
Shah2023-NODE_511_length_3175_cov_61.573077	0.8118782016546146	0.1881217983453865
Shah2023-NODE_319_length_7993_cov_12.914840	0.8118782016546146	0.1881217983453865
Shah2023-NODE_398_length_3553_cov_9.626930	0.8118782016546146	0.1881217983453865
Shah2023-NODE_30_length_30108_cov_67.586431	1.0	0.0
Shah2023-NODE_351_length_3523_cov_4.615917	0.9210223090753011	0.07897769092469892
Shah2023-NODE_1253_length_3123_cov_7.489570	0.8118782016546146	0.1881217983453865
Shah2023-NODE_140_length_5404_cov_8.063376	0.8206874279829324	0.1793125720170688
Shah2023-NODE_700_length_3531_cov_3.815593	0.8118782016546146	0.1881217983453865
Shah2023-NODE_125_length_7428_cov_15.820833	0.125	0.875
Beller2022-NODE_35_length_17850_cov_19.171115	0.844406184885853	0.15559381511414777
Shah2023-NODE_105_length_22387_cov_28.244985	0.0	1.0
Shah2023-NODE_15_length_18320_cov_10.189433	0.8118782016546146	0.1881217983453865
Liang2020a-NODE_46_length_8000_cov_48.312649	0.8363170653598774	0.16368293464012354
Shah2023-NODE_7_length_43569_cov_24.608425	0.9569902294305512	0.04300977056944868
Walters2023-NODE_480_length_3552_cov_62.928224	0.8118782016546146	0.1881217983453865
Walters2023-NODE_36_length_4872_cov_4.661200	0.7429749414245747	0.25702505857542585
Garmaeva2024-NODE_74_length_23163_cov_24.524753	0.9	0.1
Shah2023-NODE_123_length_4639_cov_5.698735	0.8118782016546146	0.1881217983453865
Liang2020a-NODE_69_length_6186_cov_4.695808	0.8055318067045922	0.19446819329540882
Shah2023-NODE_236_length_6012_cov_5.728051	0.8118782016546146	0.1881217983453865
Walters2023-NODE_24_length_3936_cov_412.458645	0.9987156186452293	0.0012843813547707623
Shah2023-NODE_593_length_4955_cov_8.895510	0.8118782016546146	0.1881217983453865
Shah2023-NODE_114_length_9831_cov_18.539280	0.0	1.0
Shah2023-NODE_117_length_7288_cov_10.951611	0.8118782016546146	0.1881217983453865
Shah2023-NODE_14_length_13113_cov_40.625670	0.9972986238568456	0.002701376143154288
Shah2023-NODE_93_length_8514_cov_15.421208	0.8118782016546146	0.1881217983453865
Liang2020a-NODE_209_length_3352_cov_3.694874	0.7511133255181985	0.24888667448180207
Liang2020a-NODE_178_length_9012_cov_6.875628	0.0125	0.9875
Liang2020a-NODE_80_length_4307_cov_4.711900	0.0	1.0
McCann2018-NODE_20_length_19946_cov_64.642250	0.9676913536437312	0.032308646356268914
Shah2023-NODE_1100_length_4399_cov_8.520718	0.8118782016546146	0.1881217983453865
Shah2023-NODE_784_length_4335_cov_6.154673	0.8118782016546146	0.1881217983453865
McCann2018-NODE_8_length_6606_cov_311.955885	0.8118782016546146	0.1881217983453865
Shah2023-NODE_211_length_5426_cov_8.248743	0.8287014312450708	0.17129856875493005
Shah2023-NODE_115_length_7411_cov_24.137575	0.8118782016546146	0.1881217983453865
Liang2020a-NODE_262_length_3989_cov_5.065328	0.8118782016546146	0.1881217983453865
Shah2023-NODE_31_length_6571_cov_51.864334	0.8004657274094381	0.199534272590563
Shah2023-NODE_706_length_3687_cov_5.230727	0.8118782016546146	0.1881217983453865
Garmaeva2024-NODE_579_length_12094_cov_10.166791	0.8118782016546146	0.1881217983453865
Shah2023-NODE_8_length_22633_cov_25.828196	0.1125	0.8875
Beller2022-NODE_46_length_3263_cov_22.218204	0.8118782016546146	0.1881217983453865
Garmaeva2024-NODE_1552_length_3072_cov_4.021545	0.9627041684617994	0.03729583153820042
Walters2023-NODE_2407_length_4178_cov_38.184817	0.6694764488388344	0.33052355116116583
Shah2023-NODE_30_length_14649_cov_24.536248	0.0125	0.9875
Shah2023-NODE_28_length_32818_cov_68.351555	0.0	1.0
Liang2020a-NODE_41_length_5417_cov_6.888288	0.8118782016546146	0.1881217983453865
Shah2023-NODE_117_length_5067_cov_6.015363	0.8118782016546146	0.1881217983453865
Shah2023-NODE_327_length_4577_cov_10.112782	0.9107929515418502	0.08920704845814986
Shah2023-NODE_333_length_4714_cov_6.677613	0.8118782016546146	0.1881217983453865
Shah2023-NODE_26_length_14732_cov_12.603938	0.885022026431718	0.11497797356828195
Beller2022-NODE_15_length_5984_cov_12.854107	0.9851321585903083	0.014867841409691631
Shah2023-NODE_65_length_3806_cov_5.126633	0.8118782016546146	0.1881217983453865
Garmaeva2024-NODE_101_length_12275_cov_21.732242	0.8871158838038411	0.11288411619615923
Shah2023-NODE_179_length_8615_cov_7.690888	0.8550238645244239	0.14497613547557656
Walters2023-NODE_49_length_3963_cov_14.559621	0.9583194560709487	0.04168054392905146
Shah2023-NODE_3_length_46524_cov_100.137877	0.9668130400982458	0.03318695990175423
Liang2020a-NODE_28_length_19927_cov_26.401369	0.05	0.95
Garmaeva2024-NODE_742_length_4886_cov_8.749948	0.8118782016546146	0.1881217983453865
Shah2023-NODE_37_length_29488_cov_59.828220	0.19008810572687224	0.8099118942731277
Beller2022-NODE_56_length_4222_cov_41.074634	0.8118782016546146	0.1881217983453865
Liang2020a-NODE_4_length_46265_cov_26.490954	0.0625	0.9375
Garmaeva2024-NODE_4_length_65104_cov_352.700441	0.8625	0.1375
Shah2023-NODE_71_length_8654_cov_10.250029	0.575	0.425
Walters2023-NODE_28_length_3512_cov_4.914377	0.8118782016546146	0.1881217983453865
Beller2022-NODE_24_length_9455_cov_44.001915	0.975	0.025
Liang2020a-NODE_53_length_18014_cov_28.043210	0.8118782016546146	0.1881217983453865
Garmaeva2024-NODE_1248_length_3281_cov_6.055177	0.9975761479884981	0.0024238520115018062
Shah2023-NODE_30_length_6490_cov_8.956643	0.8118782016546146	0.1881217983453865
