knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K00001	343.90	domain	all	0.481358	1971	1693	1793	444	11.52	0.590	alcohol dehydrogenase [EC:1.1.1.1]
K00002	423.97	domain	all	0.443143	3101	2970	7351	450	6.56	0.590	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00003	289.20	domain	all	0.943887	7683	6689	3594	695	7.27	0.590	homoserine dehydrogenase [EC:1.1.1.3]
K00004	375.40	domain	all	0.830894	1920	1635	1240	436	6.03	0.590	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
K00005	326.90	full	all	0.978071	1683	1262	768	372	2.17	0.590	glycerol dehydrogenase [EC:1.1.1.6]
K00006	299.23	full	all	0.919852	2874	2666	4046	510	4.34	0.590	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
K00007	517.80	full	all	0.998519	418	340	873	465	1.01	0.590	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	418.23	full	all	0.532087	4658	4171	3904	468	7.00	0.590	L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	162.97	full	all	0.997595	1835	1457	1757	700	3.16	0.590	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010	269.70	domain	all	0.884426	4787	4255	2580	393	9.77	0.590	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00011	542.80	domain	all	0.762765	1942	1875	4106	450	3.43	0.590	aldehyde reductase [EC:1.1.1.21]
K00012	377.50	full	all	0.949053	10591	9440	6318	584	6.13	0.590	UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013	516.37	domain	all	0.932423	8105	7199	4023	736	5.23	0.590	histidinol dehydrogenase [EC:1.1.1.23]
K00014	290.50	full	all	0.921630	5107	4358	1928	482	5.75	0.590	shikimate dehydrogenase [EC:1.1.1.25]
K00015	424.77	domain	all	0.779723	2217	2007	1538	520	4.18	0.590	glyoxylate reductase [EC:1.1.1.26]
K00016	301.17	full	all	0.907618	6848	5535	4234	544	6.24	0.590	L-lactate dehydrogenase [EC:1.1.1.27]
K00018	321.80	domain	all	0.993815	1838	1709	705	333	2.55	0.590	glycerate dehydrogenase [EC:1.1.1.29]
K00019	178.40	domain	all	0.465974	5491	4929	4579	488	9.62	0.590	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020	357.23	full	all	0.618311	8985	8025	3949	491	10.89	0.590	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021	243.47	full	all	0.999209	2683	2531	7234	910	4.41	0.590	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00022	365.23	domain	trim	0.792290	1117	1060	2032	387	4.45	0.590	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K00023	334.20	domain	trim	0.941999	2726	2239	730	295	3.60	0.590	acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024	368.23	domain	all	0.814409	6942	5599	1487	413	5.82	0.590	malate dehydrogenase [EC:1.1.1.37]
K00025	531.63	full	all	0.917951	1528	1363	2060	434	4.78	0.590	malate dehydrogenase [EC:1.1.1.37]
K00026	497.00	full	all	0.866191	2619	2422	4148	485	4.83	0.590	malate dehydrogenase [EC:1.1.1.37]
K00027	528.80	domain	all	0.788824	6475	5457	4184	730	4.22	0.590	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00028	717.50	domain	all	0.968584	468	438	1373	611	1.04	0.590	malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
K00029	294.90	domain	all	0.571483	8323	7313	6269	856	3.89	0.590	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030	425.03	full	all	0.940327	4755	4266	5358	492	4.45	0.590	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031	159.70	full	trim	0.814283	11177	9578	4080	626	5.61	0.590	isocitrate dehydrogenase [EC:1.1.1.42]
K00032	493.47	domain	all	0.886707	247	225	387	324	0.93	0.591	phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033	156.97	full	all	0.998706	9523	8112	4889	681	4.55	0.590	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00034	341.03	domain	all	0.749749	1753	1570	923	324	5.34	0.590	glucose 1-dehydrogenase [EC:1.1.1.47]
K00035	354.13	full	all	0.814413	604	534	534	308	1.28	0.590	D-galactose 1-dehydrogenase [EC:1.1.1.48]
K00036	375.70	full	all	0.993921	10646	9160	6583	601	3.58	0.590	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00037	665.93	domain	trim	0.738551	48	45	446	323	0.60	0.589	3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase [EC:1.1.1.50 1.1.1.357 1.1.1.225]
K00038	301.03	domain	trim	0.855518	1596	1457	780	317	2.67	0.590	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00039	255.57	domain	all	0.998617	462	364	362	242	1.13	0.591	ribitol 2-dehydrogenase [EC:1.1.1.56]
K00040	594.20	domain	all	0.720411	2410	2053	1678	772	3.57	0.590	fructuronate reductase [EC:1.1.1.57]
K00041	279.00	full	all	0.996487	1445	1280	1406	638	2.51	0.590	tagaturonate reductase [EC:1.1.1.58]
K00042	396.80	domain	all	0.735959	3037	2527	1042	371	4.57	0.590	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K00043	418.47	full	all	0.986505	426	378	591	376	2.06	0.590	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
K00044	404.47	domain	all	0.959128	380	364	1334	375	2.11	0.590	17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]
K00045	650.90	full	all	0.930660	1247	1160	1390	583	2.44	0.590	mannitol 2-dehydrogenase [EC:1.1.1.67]
K00046	314.57	domain	trim	0.904353	2042	1690	805	274	2.59	0.590	gluconate 5-dehydrogenase [EC:1.1.1.69]
K00048	548.60	full	all	0.994343	617	445	497	383	1.11	0.590	lactaldehyde reductase [EC:1.1.1.77]
K00049	434.87	full	all	0.890601	1253	1221	2558	443	3.30	0.590	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K00051	638.63	full	all	0.995098	226	207	799	435	0.75	0.590	malate dehydrogenase (NADP+) [EC:1.1.1.82]
K00052	428.00	domain	all	0.936860	8821	7679	2615	567	4.95	0.590	3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053	80.37	full	all	0.999928	8674	6981	2600	622	4.36	0.590	ketol-acid reductoisomerase [EC:1.1.1.86]
K00054	346.43	full	all	0.995462	1524	1318	1962	797	3.67	0.590	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
K00055	380.57	domain	all	0.989754	1119	1036	961	383	1.69	0.590	aryl-alcohol dehydrogenase [EC:1.1.1.90]
K00057	279.47	domain	all	0.943145	9039	7486	2366	622	7.56	0.590	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00058	328.50	full	all	0.756085	14079	12340	5871	484	7.46	0.590	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K00059	272.60	full	all	0.477196	38161	33474	7840	439	18.81	0.590	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00060	348.20	domain	all	0.981319	2583	2041	999	488	3.68	0.590	threonine 3-dehydrogenase [EC:1.1.1.103]
K00061	511.23	domain	all	0.949714	406	377	1029	394	2.06	0.589	11-cis-retinol dehydrogenase [EC:1.1.1.315]
K00062	321.47	full	all	0.926094	95	94	817	360	1.53	0.590	D-arabinose 1-dehydrogenase [EC:1.1.1.116]
K00063	435.77	domain	all	1.000000	37	36	383	318	0.80	0.590	D-arabinose 1-dehydrogenase [EC:1.1.1.117]
K00064	261.03	full	all	0.962114	1984	1864	1794	436	5.00	0.590	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K00065	331.80	domain	all	0.925762	2832	2349	982	334	3.34	0.590	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00066	482.73	full	all	0.990568	547	485	1143	475	1.91	0.590	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
K00067	290.83	full	all	0.813933	7614	6932	4110	392	10.37	0.590	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
K00068	276.07	domain	all	0.993374	881	532	626	269	1.66	0.591	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00069	214.13	domain	all	0.935307	1977	1857	3161	372	5.81	0.590	15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
K00070	400.10	full	all	0.892727	736	711	1751	562	3.84	0.590	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00071	439.87	domain	all	0.967884	426	399	1713	489	1.65	0.590	corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-]
K00072	206.20	full	all	0.967642	948	907	1349	383	5.25	0.590	sepiapterin reductase [EC:1.1.1.153]
K00073	534.60	full	all	0.993406	323	229	436	350	1.04	0.589	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]
K00074	413.43	domain	all	0.778128	9219	8347	4431	566	10.17	0.590	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K00075	78.07	full	all	0.993326	8801	7591	3989	583	9.07	0.590	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K00076	265.93	domain	trim	0.859116	1124	841	648	323	4.15	0.590	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
K00077	79.77	full	all	0.988425	9164	8048	5130	494	24.66	0.590	2-dehydropantoate 2-reductase [EC:1.1.1.169]
K00078	260.23	full	all	0.966235	1160	1131	3551	513	4.34	0.590	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
K00079	333.90	domain	all	0.769114	2100	2016	2936	418	6.07	0.590	carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]
K00081	442.60	domain	all	0.940164	128	123	783	301	1.19	0.591	carbonyl reductase 2 [EC:1.1.1.184]
K00082	350.83	full	all	1.000000	15	7	222	207	0.52	0.592	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]
K00083	554.33	domain	all	0.518598	1254	1170	1177	508	2.04	0.589	cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
K00084	450.03	domain	trim	0.694279	245	225	564	285	1.83	0.590	carbonyl reductase 3 [EC:1.1.1.184]
K00085	666.53	full	all	1.000000	8	8	310	310	0.43	0.590	aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200]
K00086	608.80	full	all	0.926441	179	133	480	388	1.39	0.591	1,3-propanediol dehydrogenase [EC:1.1.1.202]
K00087	420.70	domain	all	0.695787	643	554	1970	518	9.44	0.590	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
K00088	374.67	full	all	0.917939	12243	10116	5441	925	5.00	0.590	IMP dehydrogenase [EC:1.1.1.205]
K00089	742.03	domain	all	0.655556	7	6	344	323	0.42	0.587	3alpha-hydroxysteroid 3-dehydrogenase [EC:1.1.1.213 1.1.1.357]
K00090	430.93	domain	trim	0.791811	1768	1398	570	324	1.59	0.590	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
K00091	346.37	domain	all	0.950513	598	517	737	372	3.66	0.590	dihydroflavonol-4-reductase [EC:1.1.1.219]
K00093	549.37	domain	all	0.667013	3	3	389	381	0.59	0.592	methanol dehydrogenase [EC:1.1.1.244]
K00094	478.90	full	all	0.978687	225	120	386	347	0.78	0.591	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]
K00095	-	-	-	-	2	2	365	365	0.41	0.590	mannitol dehydrogenase [EC:1.1.1.255]
K00096	152.63	full	all	0.996774	1396	1244	1522	606	5.96	0.590	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
K00097	425.50	domain	all	0.846467	4251	3730	2140	586	4.59	0.590	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00098	358.10	domain	all	0.990640	1109	971	767	360	1.84	0.590	L-idonate 5-dehydrogenase [EC:1.1.1.264]
K00099	224.60	full	all	1.000000	7603	6619	2463	583	3.42	0.590	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K00100	545.07	full	all	0.934365	111	98	472	387	1.30	0.589	butanol dehydrogenase [EC:1.1.1.-]
K00101	485.87	domain	all	0.514347	4381	3725	4160	682	4.79	0.590	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00102	520.10	full	all	0.955041	2942	2741	6575	826	6.35	0.590	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
K00103	378.77	full	all	0.913569	1225	1167	3729	540	5.65	0.590	L-gulonolactone oxidase [EC:1.1.3.8]
K00104	528.13	full	all	0.920060	5132	4601	4012	742	8.59	0.590	glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14]
K00105	785.43	full	all	0.979113	271	217	972	609	0.89	0.590	alpha-glycerophosphate oxidase [EC:1.1.3.21]
K00106	1646.43	full	all	0.776665	2296	2280	14154	1560	2.85	0.590	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
K00107	500.17	full	trim	0.981440	141	132	1004	520	0.98	0.589	D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]
K00108	742.10	full	all	0.969168	2796	2430	4927	767	2.98	0.590	choline dehydrogenase [EC:1.1.99.1]
K00109	436.17	full	all	0.944569	1043	1011	2368	538	2.88	0.590	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
K00111	146.43	full	all	0.930329	10474	9251	8666	719	9.30	0.590	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
K00112	121.93	full	all	0.993631	902	702	1033	446	4.54	0.590	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
K00113	278.23	full	all	0.995609	1168	915	1370	574	3.71	0.590	glycerol-3-phosphate dehydrogenase subunit C
K00114	666.37	domain	all	0.791381	1035	941	2485	754	6.39	0.590	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K00115	714.13	full	all	0.959569	764	742	3106	734	2.18	0.590	glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]
K00116	195.67	full	all	0.999841	3744	3155	1786	629	2.51	0.590	malate dehydrogenase (quinone) [EC:1.1.5.4]
K00117	803.67	full	all	0.716674	2264	1987	4307	815	6.85	0.590	quinoprotein glucose dehydrogenase [EC:1.1.5.2]
K00118	511.53	full	all	1.000000	12	9	483	423	0.70	0.592	glucose-fructose oxidoreductase [EC:1.1.99.28]
K00119	521.97	full	all	0.967221	229	175	581	370	1.14	0.591	alcohol dehydrogenase (nicotinoprotein) [EC:1.1.99.36]
K00120	514.37	full	all	0.989247	80	49	811	371	0.91	0.590	F420-dependent hydroxymycolic acid dehydrogenase [EC:1.1.98.-]
K00121	621.23	domain	all	0.660956	8204	7075	3387	504	4.04	0.590	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K00122	249.47	domain	all	0.991678	899	788	1896	668	2.78	0.590	formate dehydrogenase [EC:1.17.1.9]
K00123	847.43	full	all	0.660219	6291	5346	6033	937	5.52	0.590	formate dehydrogenase major subunit [EC:1.17.1.9]
K00124	155.07	domain	trim	0.618333	4295	3512	2566	341	6.29	0.590	formate dehydrogenase iron-sulfur subunit
K00125	199.50	full	all	1.000000	320	290	656	383	3.09	0.590	formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
K00126	51.67	domain	trim	0.998847	1022	864	263	123	5.20	0.590	formate dehydrogenase subunit delta [EC:1.17.1.9]
K00127	61.57	domain	trim	0.768532	3588	2915	2005	292	11.65	0.590	formate dehydrogenase subunit gamma
K00128	586.47	full	all	0.291628	16746	15506	10332	617	8.13	0.590	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00129	777.10	full	all	0.612323	1223	1187	4330	575	2.90	0.590	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00130	677.33	domain	all	0.663568	5240	4712	2423	563	3.39	0.590	betaine-aldehyde dehydrogenase [EC:1.2.1.8]
K00131	480.13	domain	trim	0.993986	1357	1166	997	513	1.78	0.589	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K00132	654.13	full	trim	0.941462	490	422	881	494	1.54	0.590	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
K00133	182.40	full	all	0.994531	10201	8589	2540	477	5.41	0.590	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00134	410.33	full	all	0.757680	15636	12890	5521	460	5.45	0.590	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
K00135	583.23	domain	all	0.679211	13030	11670	4389	719	5.08	0.590	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
K00137	685.57	domain	all	0.965325	1064	865	810	478	0.95	0.591	aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
K00138	766.60	domain	all	0.983143	4019	3359	1284	980	1.68	0.591	aldehyde dehydrogenase [EC:1.2.1.-]
K00139	821.90	full	trim	0.812717	780	761	2169	635	1.91	0.590	succinate-semialdehyde dehydrogenase [EC:1.2.1.24]
K00140	516.63	domain	all	0.996545	8017	7114	5418	1277	4.06	0.590	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K00141	647.87	domain	all	0.903619	864	768	718	485	1.52	0.589	benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]
K00142	406.50	domain	all	0.996377	836	832	8231	1054	4.21	0.590	acyl-CoA synthetase [EC:6.2.1.-]
K00143	914.70	domain	trim	0.994535	189	182	2766	1397	1.41	0.591	L-2-aminoadipate reductase [EC:1.2.1.95]
K00145	122.63	full	all	0.907023	7953	7021	2337	428	3.84	0.590	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00146	676.43	domain	all	0.508588	1521	1253	883	499	1.95	0.589	phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
K00147	557.33	full	all	0.957034	7827	6956	2041	605	3.98	0.590	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K00148	382.80	full	all	0.994124	1530	1278	792	388	1.17	0.590	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
K00149	779.57	domain	trim	0.975760	673	654	1594	654	1.22	0.591	aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]
K00150	348.20	full	trim	0.794022	1362	1142	661	328	3.09	0.590	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]
K00151	725.00	domain	all	0.980037	1274	1022	722	497	1.29	0.591	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
